pair,price_change_pct,quote_volume,symbol
LAYER/USDT:USDT,-1.5379975874547758,2887028.862971,LAYERUSDT
ASTER/USDT:USDT,-1.4768937589328401,24222122.678299993,ASTERUSDT
A/USDT:USDT,1.4621826399042748,3575406.7741300026,AUSDT
2Z/USDT:USDT,1.3694801565120152,2090901.4598400001,2ZUSDT
KAS/USDT:USDT,-1.3440860215053752,2809150.9411500003,KASUSDT
VVV/USDT:USDT,1.2499999999999956,18186809.566360004,VVVUSDT
BREV/USDT:USDT,-1.208910622113557,4137764.26888,BREVUSDT
AXS/USDT:USDT,-1.2012012012012074,11348038.448999997,AXSUSDT
EGLD/USDT:USDT,-1.1095204008589876,2528066.171499999,EGLDUSDT
IOTA/USDT:USDT,-1.0770059235325702,3002466.572972001,IOTAUSDT
OGN/USDT:USDT,-1.075911536162577,1457570.3023800005,OGNUSDT
JCT/USDT:USDT,-1.0234798314268434,2135522.044504999,JCTUSDT
RIF/USDT:USDT,1.0064256406286276,17581378.54128999,RIFUSDT
RESOLV/USDT:USDT,0.9506564056134037,7065477.367699998,RESOLVUSDT
O/USDT:USDT,-0.8599508599508643,51369811.058099985,OUSDT
DEXE/USDT:USDT,-0.7882111034955508,35494950.66361001,DEXEUSDT
ONG/USDT:USDT,0.782903089293252,1614906.949850001,ONGUSDT
TRX/USDT:USDT,-0.7736303431667757,36963439.41038002,TRXUSDT
TAIKO/USDT:USDT,0.7334963325183352,8525275.178300003,TAIKOUSDT
PENDLE/USDT:USDT,-0.7190922285261969,18696206.034,PENDLEUSDT
POL/USDT:USDT,-0.7068988087445938,10901287.65379999,POLUSDT
SKY/USDT:USDT,-0.663558106169293,5327349.096929998,SKYUSDT
LITE/USDT:USDT,0.598630058136207,27047558.39940001,LITEUSDT
FOLKS/USDT:USDT,-0.5863539445628896,1941784.3934999995,FOLKSUSDT
MOVR/USDT:USDT,-0.5797101449275255,3923235.3208299987,MOVRUSDT
ARPA/USDT:USDT,0.34802784222738303,4163285.521770002,ARPAUSDT
UNI/USDT:USDT,0.3328290468986195,120741038.98400001,UNIUSDT
BEAT/USDT:USDT,-0.2956081081080919,20727032.211699996,BEATUSDT
AVNT/USDT:USDT,-0.21074815595362173,5307720.784000002,AVNTUSDT
WLFI/USDT:USDT,-0.16877637130801038,23683501.183329985,WLFIUSDT
IMX/USDT:USDT,0.14398848092151972,2853136.7691000015,IMXUSDT
ZBT/USDT:USDT,0.08297378028543356,5144554.973590003,ZBTUSDT
ORDI/USDT:USDT,-0.05688282138794909,16515722.978900006,ORDIUSDT
BEL/USDT:USDT,-0.05520794994479106,9600362.308860002,BELUSDT
GLW/USDT:USDT,-0.03236245954693073,36849169.0546,GLWUSDT
PIPPIN/USDT:USDT,0.0,8793862.279070003,PIPPINUSDT
